k_values,costs,centroid
1,0.00417395147647,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,0.00322215497566,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]"
3,0.00285494048121,"[0, 2, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 2, 0, 1, 0, 1, 0, 2, 0, 2, 2, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 2, 0, 2, 1, 0, 2, 1, 1, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 1, 2, 1, 0, 1, 0, 2, 0, 0, 1, 0, 2, 0, 2, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 2, 2, 2, 2]"
4,0.00257407994603,"[1, 3, 3, 1, 1, 1, 0, 1, 2, 2, 1, 1, 1, 1, 0, 0, 2, 0, 1, 3, 0, 3, 1, 0, 0, 0, 1, 1, 1, 1, 2, 3, 0, 1, 0, 1, 0, 0, 3, 0, 3, 0, 1, 0, 1, 0, 1, 2, 1, 0, 3, 0, 3, 0, 1, 1, 0, 1, 3, 2, 2, 3, 1, 3, 2, 3, 0, 3, 0, 1, 0, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 0, 2, 1, 0, 1, 0, 0, 3, 1, 3, 1, 0, 1, 3, 3, 1, 2, 0, 2, 0, 3, 1, 3, 3, 2, 0, 1, 0, 3, 0, 1, 1, 0, 1, 1, 1, 1, 3, 3, 2, 2, 3, 0, 3, 2, 1, 3, 2, 0, 0, 3, 0, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 1, 3, 0, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 3, 0, 0, 3, 1, 1, 1, 2, 3, 2, 2, 1, 0, 0, 0, 1, 3, 1, 3]"
5,0.00246726272415,"[4, 4, 4, 3, 3, 3, 1, 4, 3, 2, 3, 3, 4, 4, 1, 4, 2, 1, 3, 0, 1, 0, 4, 1, 1, 1, 0, 4, 4, 3, 2, 0, 1, 3, 1, 3, 1, 3, 0, 1, 0, 1, 3, 4, 3, 4, 4, 2, 3, 1, 0, 1, 0, 1, 3, 4, 1, 3, 0, 2, 2, 0, 4, 4, 2, 0, 1, 0, 1, 3, 1, 4, 0, 1, 1, 2, 4, 4, 3, 4, 2, 1, 2, 4, 1, 3, 1, 1, 0, 4, 0, 3, 1, 4, 0, 0, 4, 2, 4, 2, 1, 0, 4, 0, 0, 2, 1, 4, 1, 0, 1, 3, 3, 4, 4, 4, 4, 4, 0, 0, 2, 2, 0, 1, 0, 2, 4, 0, 2, 1, 1, 0, 1, 0, 1, 1, 4, 4, 4, 1, 1, 3, 1, 1, 1, 1, 3, 1, 4, 1, 4, 1, 0, 1, 1, 1, 1, 0, 4, 1, 1, 3, 0, 1, 0, 2, 2, 4, 4, 3, 4, 1, 0, 1, 1, 0, 1, 4, 0, 3, 4, 4, 2, 0, 2, 2, 4, 1, 1, 1, 4, 0, 4, 4]"
6,0.00234185441067,"[0, 3, 0, 5, 5, 5, 4, 2, 5, 1, 5, 5, 0, 0, 4, 2, 1, 2, 5, 3, 4, 3, 0, 2, 2, 2, 0, 5, 2, 5, 1, 0, 4, 5, 4, 5, 4, 5, 0, 4, 3, 4, 5, 2, 5, 2, 0, 1, 5, 2, 3, 4, 0, 4, 5, 2, 4, 5, 3, 1, 1, 3, 0, 0, 1, 3, 2, 4, 4, 5, 4, 2, 3, 4, 4, 1, 0, 3, 5, 0, 1, 2, 1, 0, 4, 0, 2, 2, 3, 0, 3, 5, 2, 2, 3, 3, 0, 1, 2, 1, 4, 3, 2, 0, 3, 1, 4, 0, 4, 3, 4, 5, 3, 2, 0, 0, 2, 0, 3, 0, 1, 1, 0, 4, 3, 1, 0, 0, 1, 4, 2, 3, 4, 3, 2, 4, 0, 2, 2, 2, 2, 5, 2, 4, 4, 4, 5, 4, 0, 4, 0, 2, 3, 4, 4, 4, 4, 0, 0, 2, 4, 5, 3, 4, 0, 1, 1, 0, 0, 5, 2, 0, 0, 4, 2, 0, 2, 2, 0, 0, 2, 0, 1, 0, 1, 4, 0, 4, 2, 2, 0, 3, 0, 0]"
7,0.00234143213867,"[5, 4, 4, 2, 2, 2, 6, 1, 2, 0, 2, 2, 5, 5, 6, 1, 0, 1, 2, 4, 6, 4, 4, 1, 1, 1, 4, 2, 1, 2, 0, 4, 6, 2, 6, 2, 6, 2, 4, 6, 4, 1, 2, 1, 2, 1, 5, 0, 2, 1, 3, 6, 4, 6, 2, 5, 6, 2, 4, 0, 0, 4, 4, 4, 0, 4, 1, 4, 6, 2, 6, 1, 3, 1, 6, 0, 4, 4, 2, 5, 0, 1, 0, 4, 6, 5, 1, 1, 3, 4, 4, 2, 1, 5, 3, 3, 5, 0, 1, 0, 1, 3, 1, 4, 4, 0, 6, 2, 6, 4, 1, 2, 2, 1, 5, 5, 1, 4, 4, 4, 0, 0, 4, 6, 3, 0, 5, 4, 0, 6, 1, 3, 1, 4, 1, 6, 4, 1, 1, 1, 1, 5, 1, 1, 1, 6, 2, 6, 5, 6, 4, 1, 3, 6, 1, 6, 6, 4, 4, 6, 6, 2, 3, 1, 4, 0, 0, 5, 4, 2, 1, 6, 4, 2, 1, 4, 1, 1, 4, 2, 1, 4, 0, 4, 0, 6, 4, 6, 1, 1, 5, 3, 4, 5]"
8,0.00220304329019,"[3, 7, 7, 4, 4, 4, 6, 1, 4, 0, 4, 3, 3, 3, 6, 1, 0, 6, 4, 7, 6, 7, 5, 1, 6, 1, 5, 3, 1, 4, 0, 7, 6, 5, 6, 4, 6, 4, 5, 6, 7, 6, 4, 3, 4, 3, 3, 0, 5, 1, 7, 6, 5, 6, 5, 3, 6, 4, 7, 0, 0, 7, 5, 7, 0, 7, 6, 7, 6, 5, 5, 3, 7, 6, 6, 0, 3, 1, 4, 3, 0, 3, 0, 3, 6, 3, 1, 6, 7, 3, 7, 4, 1, 3, 2, 2, 3, 0, 1, 0, 6, 5, 1, 7, 5, 0, 6, 5, 6, 7, 6, 4, 4, 1, 3, 3, 1, 3, 7, 7, 0, 0, 7, 5, 2, 0, 3, 7, 0, 6, 1, 2, 6, 7, 1, 6, 3, 3, 1, 1, 1, 3, 1, 6, 6, 6, 4, 6, 3, 5, 7, 6, 2, 6, 6, 6, 6, 5, 3, 5, 6, 4, 7, 6, 5, 0, 0, 3, 3, 4, 1, 5, 5, 6, 6, 7, 1, 1, 7, 5, 1, 3, 0, 7, 0, 6, 1, 5, 6, 1, 3, 2, 5, 3]"
9,0.00209275132701,"[0, 6, 6, 0, 0, 0, 1, 4, 1, 3, 0, 0, 8, 0, 7, 4, 3, 7, 0, 6, 7, 6, 8, 4, 4, 7, 4, 4, 4, 0, 3, 6, 4, 8, 1, 0, 7, 1, 8, 1, 8, 7, 0, 7, 0, 5, 8, 3, 4, 7, 2, 7, 8, 7, 4, 5, 4, 0, 6, 3, 3, 8, 8, 6, 3, 8, 7, 6, 7, 4, 4, 7, 2, 7, 1, 3, 8, 4, 0, 5, 1, 5, 1, 8, 1, 0, 4, 7, 2, 8, 8, 4, 4, 5, 2, 2, 8, 1, 7, 3, 7, 2, 4, 8, 8, 1, 1, 4, 7, 6, 7, 0, 0, 7, 5, 5, 4, 8, 6, 8, 3, 3, 8, 4, 2, 3, 5, 8, 1, 1, 7, 2, 7, 6, 7, 1, 4, 5, 4, 7, 4, 0, 7, 7, 7, 7, 0, 7, 8, 1, 6, 7, 2, 1, 7, 1, 7, 8, 8, 4, 1, 0, 8, 7, 8, 3, 3, 5, 4, 0, 7, 4, 8, 7, 7, 8, 7, 4, 8, 4, 4, 4, 1, 8, 1, 1, 4, 4, 7, 7, 8, 2, 8, 8]"
10,0.00203726686204,"[8, 4, 4, 5, 5, 5, 0, 3, 0, 9, 5, 5, 8, 5, 0, 3, 9, 3, 5, 4, 1, 4, 8, 7, 3, 3, 7, 3, 3, 5, 9, 8, 7, 8, 0, 5, 1, 7, 6, 0, 6, 3, 3, 3, 5, 2, 8, 9, 7, 3, 6, 1, 6, 1, 7, 2, 3, 5, 4, 9, 9, 4, 8, 4, 9, 6, 3, 1, 1, 7, 7, 3, 6, 1, 0, 9, 8, 4, 5, 2, 0, 3, 0, 8, 0, 5, 7, 1, 6, 8, 8, 5, 3, 2, 6, 6, 8, 0, 3, 9, 1, 6, 3, 8, 6, 0, 7, 8, 1, 8, 1, 3, 4, 3, 2, 8, 3, 8, 4, 8, 9, 9, 8, 7, 6, 9, 2, 8, 0, 0, 1, 4, 1, 4, 3, 0, 8, 2, 4, 3, 3, 8, 3, 1, 1, 1, 5, 1, 8, 7, 4, 0, 6, 0, 3, 0, 1, 8, 8, 7, 0, 5, 6, 1, 8, 9, 9, 8, 8, 5, 3, 7, 8, 3, 1, 8, 3, 3, 8, 8, 4, 8, 0, 8, 0, 0, 8, 7, 3, 3, 8, 6, 8, 8]"
11,0.00203501155369,"[9, 6, 6, 9, 9, 9, 10, 9, 10, 2, 9, 9, 1, 9, 10, 7, 2, 4, 9, 6, 4, 6, 1, 7, 4, 4, 1, 1, 0, 9, 2, 6, 10, 1, 10, 9, 4, 8, 1, 10, 6, 4, 10, 4, 9, 5, 1, 2, 1, 4, 3, 4, 1, 4, 1, 5, 10, 9, 6, 2, 2, 6, 1, 6, 2, 6, 4, 6, 4, 1, 8, 4, 3, 4, 10, 2, 1, 7, 9, 5, 10, 10, 10, 6, 10, 9, 7, 4, 3, 1, 6, 10, 7, 5, 3, 3, 1, 10, 4, 2, 4, 3, 7, 6, 1, 10, 8, 1, 4, 6, 4, 9, 9, 4, 5, 1, 0, 1, 6, 6, 2, 2, 6, 8, 3, 2, 5, 6, 8, 10, 4, 3, 4, 6, 4, 10, 1, 5, 7, 7, 7, 9, 7, 4, 4, 4, 9, 4, 1, 8, 6, 4, 3, 10, 4, 10, 4, 1, 1, 10, 10, 9, 1, 4, 1, 2, 2, 5, 1, 9, 0, 1, 1, 4, 4, 6, 10, 0, 6, 1, 7, 1, 2, 1, 2, 10, 1, 1, 4, 4, 6, 3, 1, 6]"
12,0.0019407103601,"[10, 8, 8, 7, 7, 7, 5, 0, 9, 1, 7, 7, 10, 7, 9, 2, 1, 0, 7, 8, 3, 8, 10, 2, 0, 0, 11, 0, 0, 7, 1, 10, 11, 11, 5, 7, 3, 5, 6, 5, 6, 0, 0, 0, 7, 2, 10, 1, 11, 0, 6, 3, 6, 3, 11, 9, 11, 7, 10, 1, 1, 8, 11, 8, 1, 6, 0, 3, 3, 11, 11, 0, 6, 3, 9, 9, 10, 8, 7, 10, 9, 9, 9, 10, 9, 7, 2, 2, 6, 10, 10, 7, 0, 0, 6, 6, 10, 9, 0, 1, 3, 6, 0, 10, 6, 9, 5, 11, 3, 10, 3, 0, 8, 0, 4, 10, 0, 10, 8, 10, 1, 1, 10, 11, 6, 1, 10, 10, 5, 5, 3, 8, 3, 8, 0, 9, 10, 2, 8, 0, 2, 7, 2, 3, 3, 3, 7, 3, 10, 11, 8, 2, 6, 9, 0, 9, 3, 10, 10, 11, 9, 7, 6, 3, 10, 1, 1, 10, 10, 7, 0, 11, 11, 0, 2, 10, 0, 0, 10, 11, 8, 10, 9, 10, 9, 5, 10, 11, 2, 0, 10, 6, 10, 10]"
13,0.00192406235258,"[11, 8, 8, 1, 1, 1, 9, 2, 9, 6, 1, 1, 11, 11, 2, 4, 6, 2, 1, 10, 0, 10, 11, 4, 2, 2, 3, 2, 8, 1, 6, 10, 3, 11, 9, 1, 0, 3, 7, 9, 7, 2, 2, 2, 1, 12, 11, 6, 3, 2, 7, 0, 7, 0, 3, 12, 2, 1, 10, 6, 6, 8, 11, 10, 6, 7, 2, 10, 0, 3, 3, 2, 7, 0, 9, 9, 11, 8, 1, 12, 9, 2, 9, 11, 9, 11, 4, 2, 7, 11, 10, 1, 2, 12, 5, 5, 11, 9, 2, 6, 0, 7, 8, 10, 7, 9, 3, 11, 0, 10, 0, 2, 8, 2, 12, 11, 8, 11, 10, 10, 6, 6, 10, 3, 7, 6, 12, 10, 9, 9, 0, 8, 0, 7, 2, 9, 11, 12, 8, 2, 4, 1, 2, 0, 0, 0, 1, 0, 11, 3, 8, 2, 7, 9, 2, 9, 0, 11, 11, 3, 9, 1, 7, 2, 11, 6, 6, 11, 11, 1, 2, 3, 7, 2, 2, 10, 2, 2, 10, 11, 8, 11, 9, 10, 9, 9, 11, 3, 0, 8, 11, 5, 11, 10]"
14,0.00179912813043,"[5, 8, 9, 1, 5, 1, 13, 5, 1, 11, 5, 5, 12, 5, 7, 4, 11, 7, 5, 9, 7, 9, 12, 4, 7, 7, 12, 5, 2, 1, 11, 9, 10, 12, 13, 1, 7, 1, 3, 13, 0, 7, 1, 7, 5, 4, 3, 11, 12, 7, 0, 7, 12, 7, 10, 13, 7, 5, 3, 11, 11, 8, 12, 9, 11, 3, 7, 3, 7, 10, 10, 7, 0, 7, 13, 13, 5, 8, 5, 5, 13, 13, 13, 3, 13, 5, 4, 7, 0, 5, 3, 1, 4, 5, 0, 0, 5, 1, 7, 11, 7, 0, 5, 3, 12, 13, 10, 12, 7, 3, 7, 1, 8, 7, 6, 5, 2, 3, 9, 3, 11, 11, 3, 10, 0, 11, 5, 3, 1, 13, 7, 8, 7, 9, 7, 13, 5, 4, 8, 7, 4, 5, 4, 7, 7, 7, 5, 7, 5, 10, 9, 4, 0, 13, 7, 13, 7, 12, 3, 10, 13, 1, 0, 7, 3, 11, 11, 5, 12, 5, 2, 10, 12, 7, 4, 3, 13, 2, 3, 12, 8, 5, 13, 3, 13, 13, 12, 10, 4, 7, 3, 0, 12, 3]"
15,0.00176560922311,"[8, 7, 1, 4, 4, 4, 10, 6, 11, 0, 4, 4, 9, 8, 11, 12, 0, 6, 4, 7, 5, 7, 9, 12, 11, 6, 11, 11, 1, 4, 0, 7, 11, 11, 10, 4, 5, 11, 9, 10, 3, 6, 11, 6, 4, 2, 8, 0, 11, 6, 3, 5, 9, 5, 11, 2, 11, 4, 9, 0, 0, 7, 9, 7, 0, 9, 6, 9, 5, 11, 11, 6, 3, 5, 10, 0, 9, 1, 4, 8, 10, 6, 10, 9, 11, 8, 12, 5, 3, 8, 9, 11, 6, 8, 3, 3, 8, 10, 6, 0, 5, 3, 1, 7, 9, 10, 10, 11, 5, 9, 5, 6, 1, 6, 2, 8, 1, 9, 7, 9, 0, 0, 9, 11, 3, 0, 8, 9, 10, 10, 5, 13, 5, 7, 6, 10, 1, 2, 1, 6, 12, 8, 6, 5, 5, 5, 14, 5, 8, 10, 7, 10, 3, 10, 6, 10, 5, 9, 9, 11, 10, 4, 3, 5, 9, 0, 0, 8, 1, 4, 6, 11, 9, 6, 5, 9, 6, 1, 9, 9, 1, 11, 0, 9, 0, 10, 1, 11, 5, 6, 8, 3, 9, 8]"
